shot,target_filename,characters,frame_instruction,continuity
028,FRAME_028.png,crowd,"Rapid inserts; notifications, traffic, angry mouths, slammed door",Maintain prior casting and location continuity
029,FRAME_029.png,"Eddie, commuters",Subway; Eddie stands still as crowd and noise surge,Use exact Eddie canon sheet
030,FRAME_030.png,none,Abrupt cut; all ambient sound disappears,Maintain prior casting and location continuity
031,FRAME_031.png,Eddie,Intimate close-up; invitation to take twenty-two seconds,Use exact Eddie canon sheet
032,FRAME_032.png,Eddie,"Meditation seconds 0–4; eyes close, tongue gently touches palate",Use exact Eddie canon sheet
033,FRAME_033.png,brother,Meditation seconds 5–8; brother closes eyes behind wall,Maintain prior casting and location continuity
034,FRAME_034.png,"nurse, rider, elder, child",Meditation seconds 9–12; strangers pause in ordinary locations,Maintain prior casting and location continuity
035,FRAME_035.png,Eddie,"Meditation seconds 13–16; eyes subtly roll upward, fleeting smile",Use exact Eddie canon sheet
036,FRAME_036.png,Eddie,Meditation seconds 17–20; wall pulses in heartbeat rhythm,Use exact Eddie canon sheet
037,FRAME_037.png,none,Meditation seconds 21–22; complete black,Maintain prior casting and location continuity
038,FRAME_038.png,Eddie,Beat drop; Eddie opens eyes,Use exact Eddie canon sheet
039,FRAME_039.png,Eddie,Macro; aged-gold reflection blooms in pupil,Use exact Eddie canon sheet
040,FRAME_040.png,none,"Match inserts; subway glass, puddle, ring, hospital monitor reflect gold",Maintain prior casting and location continuity
041,FRAME_041.png,none,Elegant typography plate; AMOR,Maintain prior casting and location continuity
042,FRAME_042.png,hands,Latin amor; old handwritten love letter unfolds,Maintain prior casting and location continuity
043,FRAME_043.png,"woman, father",Italian amore; daughter buttons father coat,Maintain prior casting and location continuity
044,FRAME_044.png,two friends,French amour; friends reconcile outside laundromat,Maintain prior casting and location continuity
045,FRAME_045.png,"grandmother, child",Romanian iubire; grandmother kisses child at train platform,Maintain prior casting and location continuity
046,FRAME_046.png,partner,German Liebe; partner waits outside intensive-care room,Maintain prior casting and location continuity
047,FRAME_047.png,two brothers,Dutch liefde; brothers repair bicycle after argument,Maintain prior casting and location continuity
048,FRAME_048.png,two friends,Swedish kärlek; blanket placed over sleeping friend,Maintain prior casting and location continuity
049,FRAME_049.png,two commuters,Japanese 愛・恋; quiet mutual glance on last train,Maintain prior casting and location continuity
050,FRAME_050.png,"father, daughter",Mandarin 爱; father carefully peels fruit for adult daughter,Maintain prior casting and location continuity
051,FRAME_051.png,two friends,Korean 사랑; friend waits with extra umbrella in rain,Maintain prior casting and location continuity
052,FRAME_052.png,"adult, elder",Thai ความรัก; adult gently washes elder hands,Maintain prior casting and location continuity
053,FRAME_053.png,"mother, son",Hindi प्रेम / प्यार; mother repairs sleeping son shirt,Maintain prior casting and location continuity
054,FRAME_054.png,two loved ones,Bengali ভালোবাসা; shared silence after difficult news,Maintain prior casting and location continuity
055,FRAME_055.png,family,Tagalog pag-ibig; airport homecoming embrace,Maintain prior casting and location continuity
056,FRAME_056.png,worker,Tagalog mahal; exhausted worker records family voice message,Maintain prior casting and location continuity
057,FRAME_057.png,neighbors,Indonesian cinta; neighbor carries groceries for injured friend,Maintain prior casting and location continuity
058,FRAME_058.png,adult,Russian любовь; restored photograph beside lit candle,Maintain prior casting and location continuity
059,FRAME_059.png,"daughter, father",Polish miłość; daughter teaches father video messaging,Maintain prior casting and location continuity
060,FRAME_060.png,two siblings,Czech láska; estranged siblings reconcile on bridge,Maintain prior casting and location continuity
061,FRAME_061.png,Puerto Rican family,Spanish amor; Puerto Rican family fills warm kitchen,Maintain prior casting and location continuity
062,FRAME_062.png,family,"Macro; hands pass food, touch shoulders, add chair",Maintain prior casting and location continuity
063,FRAME_063.png,"grandmother, grandson",Portuguese amor; grandson dances with grandmother,Maintain prior casting and location continuity
064,FRAME_064.png,Eddie,"Intimate; Eddie watches family video, grief becomes gratitude",Use exact Eddie canon sheet
065,FRAME_065.png,neighbors,Neighborhood doorway; strangers pulled into community dance,Maintain prior casting and location continuity
066,FRAME_066.png,siblings,Arabic حب; sibling covers exhausted sibling with coat,Maintain prior casting and location continuity
067,FRAME_067.png,"father, daughter",Hebrew אהבה; father and daughter squeeze hands across dinner,Maintain prior casting and location continuity
068,FRAME_068.png,adult,"Persian عشق; worn letter reread, phone finally lifted",Maintain prior casting and location continuity
069,FRAME_069.png,two friends,Turkish aşk; longtime friends embrace outside hospital,Maintain prior casting and location continuity
070,FRAME_070.png,neighbors,Swahili upendo; neighbors cook together for grieving family,Maintain prior casting and location continuity
071,FRAME_071.png,multigenerational family,Zulu uthando; generations dance at community gathering,Maintain prior casting and location continuity
072,FRAME_072.png,"elder, younger adult",Yoruba ìfẹ́; elder tenderly touches younger person face,Maintain prior casting and location continuity
073,FRAME_073.png,global ensemble,"Match montage; hands hold, repair, feed, forgive",Maintain prior casting and location continuity
074,FRAME_074.png,global ensemble,Global composite; subtle aged-gold threads connect distinct locations,Maintain prior casting and location continuity
075,FRAME_075.png,global ensemble,Portrait montage; participants briefly address lens,Maintain prior casting and location continuity
076,FRAME_076.png,none,Typography; words for love accumulate in correct native scripts,Maintain prior casting and location continuity
077,FRAME_077.png,none,Orbit; Earth glows at locations grounded in earlier scenes,Maintain prior casting and location continuity
078,FRAME_078.png,Eddie,Return; wall now shines through thousands of golden cracks,Use exact Eddie canon sheet
079,FRAME_079.png,Eddie,Quiet wide; Eddie steps back before wall yields,Use exact Eddie canon sheet
080,FRAME_080.png,"Eddie, brother",Impact; wall loosens stone by stone without explosive violence,Use exact Eddie canon sheet
081,FRAME_081.png,brother,Reverse; brother visible through widening opening,Maintain prior casting and location continuity
082,FRAME_082.png,"Eddie, brother",Alternating close-ups; both men speechless,Use exact Eddie canon sheet
083,FRAME_083.png,"Eddie, brother",Warm flashback; corner-store laughter returns,Use exact Eddie canon sheet
084,FRAME_084.png,Eddie,Intimate close-up; Eddie says I love you,Use exact Eddie canon sheet
085,FRAME_085.png,brother,"Reaction; brother looks away, overwhelmed",Maintain prior casting and location continuity
086,FRAME_086.png,none,"Insert montage; unanswered text, doorway, untouched mug",Maintain prior casting and location continuity
087,FRAME_087.png,"Eddie, brother",Reframed memories reveal fear and grief beneath anger,Use exact Eddie canon sheet
088,FRAME_088.png,Eddie,Medium; shoulders release tension,Use exact Eddie canon sheet
089,FRAME_089.png,Eddie,Physical action; Eddie moves final broken wall stone,Use exact Eddie canon sheet
090,FRAME_090.png,"Eddie, brother",Symmetrical wide; both stand on equal ground among fallen stones,Use exact Eddie canon sheet
091,FRAME_091.png,"Eddie, brother",Side angle; both move toward each other,Use exact Eddie canon sheet
092,FRAME_092.png,"Eddie, brother",Held medium; imperfect immediate embrace,Use exact Eddie canon sheet
093,FRAME_093.png,"Eddie, brother",Detail; hand grips back of jacket,Use exact Eddie canon sheet
094,FRAME_094.png,"Eddie, brother",Wide; sunrise floods reopened street,Use exact Eddie canon sheet
095,FRAME_095.png,Eddie,Kitchen return; Eddie finishes message,Use exact Eddie canon sheet
096,FRAME_096.png,none,"Phone insert; signature Love, Eddie",Maintain prior casting and location continuity
097,FRAME_097.png,Eddie,Insert; thumb presses send,Use exact Eddie canon sheet
098,FRAME_098.png,"Eddie, Pryde, Kickz, Anput",Storefront reflection; exact canon mascots stand as quiet witnesses,Use exact Eddie canon sheet; use exact LAB crew canon image
099,FRAME_099.png,Eddie,Direct address; smallest knowing smile at Lion Ass Bitch,Use exact Eddie canon sheet
100,FRAME_100.png,"Eddie, brother","Aerial wide; wall gone, street continuous",Use exact Eddie canon sheet
101,FRAME_101.png,global ensemble,"Global reprise; calls answered, doors opened, apologies made",Maintain prior casting and location continuity
102,FRAME_102.png,Eddie,Final close-up; direct warning about pride and lost people,Use exact Eddie canon sheet
103,FRAME_103.png,none,Black title card; final pride warning typography,Maintain prior casting and location continuity
104,FRAME_104.png,none,"Black final signature card; LOVE, EDDIE / LION ASS BITCH",Maintain prior casting and location continuity
